Metrics	dataset
number_of_reads	170739
number_of_bases	269237224.0
median_read_length	1600.0
mean_read_length	1576.9
read_length_stdev	181.5
n50	1602.0
mean_qual	12.2
median_qual	12.9
longest_read_(with_Q):1	4914 (13.0)
longest_read_(with_Q):2	4881 (14.2)
longest_read_(with_Q):3	4858 (13.9)
longest_read_(with_Q):4	4845 (14.7)
longest_read_(with_Q):5	4839 (11.8)
highest_Q_read_(with_length):1	20.0 (326)
highest_Q_read_(with_length):2	19.4 (1621)
highest_Q_read_(with_length):3	19.1 (1581)
highest_Q_read_(with_length):4	19.0 (1579)
highest_Q_read_(with_length):5	18.7 (346)
Reads >Q5:	170739 (100.0%) 269.2Mb
Reads >Q7:	170739 (100.0%) 269.2Mb
Reads >Q10:	170725 (100.0%) 269.2Mb
Reads >Q12:	120742 (70.7%) 191.7Mb
Reads >Q15:	15583 (9.1%) 24.9Mb
