Metrics	dataset
number_of_reads	95093
number_of_bases	146750436.0
median_read_length	1611.0
mean_read_length	1543.2
read_length_stdev	291.0
n50	1612.0
mean_qual	12.0
median_qual	12.7
longest_read_(with_Q):1	5049 (12.1)
longest_read_(with_Q):2	5047 (13.3)
longest_read_(with_Q):3	4879 (10.6)
longest_read_(with_Q):4	4851 (13.1)
longest_read_(with_Q):5	4833 (10.2)
highest_Q_read_(with_length):1	18.9 (1628)
highest_Q_read_(with_length):2	18.7 (360)
highest_Q_read_(with_length):3	18.5 (1623)
highest_Q_read_(with_length):4	18.5 (1624)
highest_Q_read_(with_length):5	18.4 (1635)
Reads >Q5:	95093 (100.0%) 146.8Mb
Reads >Q7:	95093 (100.0%) 146.8Mb
Reads >Q10:	95077 (100.0%) 146.7Mb
Reads >Q12:	62109 (65.3%) 97.6Mb
Reads >Q15:	8160 (8.6%) 13.1Mb
