Metrics	dataset
number_of_reads	93886
number_of_bases	145339616.0
median_read_length	1613.0
mean_read_length	1548.0
read_length_stdev	269.1
n50	1614.0
mean_qual	12.2
median_qual	12.9
longest_read_(with_Q):1	5364 (11.3)
longest_read_(with_Q):2	4755 (14.7)
longest_read_(with_Q):3	3758 (12.7)
longest_read_(with_Q):4	3541 (12.5)
longest_read_(with_Q):5	3451 (11.9)
highest_Q_read_(with_length):1	19.5 (618)
highest_Q_read_(with_length):2	19.4 (221)
highest_Q_read_(with_length):3	19.1 (637)
highest_Q_read_(with_length):4	18.7 (1623)
highest_Q_read_(with_length):5	18.6 (112)
Reads >Q5:	93886 (100.0%) 145.3Mb
Reads >Q7:	93886 (100.0%) 145.3Mb
Reads >Q10:	93872 (100.0%) 145.3Mb
Reads >Q12:	65776 (70.1%) 103.5Mb
Reads >Q15:	8707 (9.3%) 14.0Mb
